"idsite","occ1","occ2","occ3","occ4","effort","altitude","foret","X","Y"
8,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,585000,6115000
9,0,0,0,0,-0.783587148244182,1.5146115361032,-1.25499708283751,595000,6115000
10,0,0,0,0,-0.783587148244182,0.808051517633688,-1.25499708283751,605000,6115000
11,0,0,0,0,-0.743080051198185,0.674970469899451,-1.25499708283751,615000,6115000
12,0,0,0,0,-0.702572954152189,0.683438943840061,-1.25499708283751,625000,6115000
13,0,0,0,0,-0.702572954152189,0.507099731855257,-1.25499708283751,635000,6115000
14,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,645000,6115000
15,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,655000,6115000
16,0,0,0,0,-0.743080051198185,-1.02721033479338,-1.25499708283751,665000,6115000
68,0,0,0,0,-0.783587148244182,2.02200072469856,-1.25499708283751,585000,6125000
69,0,0,0,0,-0.783587148244182,1.89432523074153,-1.25499708283751,595000,6125000
70,0,0,0,0,-0.621558760060196,1.03691417254263,-1.25499708283751,605000,6125000
71,0,0,0,0,-0.540544565968203,1.2291620111209,-1.25499708283751,615000,6125000
72,0,0,0,0,-0.419023274830214,1.02969445688862,-1.25499708283751,625000,6125000
73,0,0,0,0,-0.338009080738221,0.747870485770937,-1.25499708283751,635000,6125000
74,0,0,0,0,-0.256994886646228,0.769514398343525,-1.25499708283751,645000,6125000
75,0,0,0,0,-0.419023274830214,-1.02721033479338,-1.25499708283751,655000,6125000
76,0,0,0,0,-0.540544565968203,-1.02721033479338,-1.25499708283751,665000,6125000
77,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,675000,6125000
78,0,0,0,0,-0.702572954152189,-0.696722876472002,-1.25499708283751,685000,6125000
79,0,0,0,0,-0.783587148244182,-0.892205541449146,-1.25499708283751,695000,6125000
127,0,0,0,0,-0.783587148244182,0.310567093009051,-1.25499708283751,575000,6135000
128,0,0,0,0,-0.783587148244182,2.11449082373561,-1.25499708283751,585000,6135000
129,0,0,0,0,-0.702572954152189,1.72073773259729,-1.25499708283751,595000,6135000
130,0,0,0,0,-0.45953037187621,2.16397021330493,-1.25499708283751,605000,6135000
131,0,0,0,0,-0.175980692554235,2.38001643286014,-0.276190421597562,615000,6135000
132,0,0,0,0,0.148076083813736,1.91002244613288,-0.492652358102268,625000,6135000
133,0,0,0,0,0.229090277905729,1.86047176998694,-1.25499708283751,635000,6135000
134,0,0,0,0,0.472132860181707,1.35337922211779,-1.17845234915752,645000,6135000
135,0,0,0,0,0.472132860181707,0.809746875644515,0.44689019104316,655000,6135000
136,0,0,0,0,0.350611569043718,0.701734232138124,1.47807295679949,665000,6135000
137,0,0,0,0,-0.0139523043702497,0.0509857981143073,0.811687228901253,675000,6135000
138,0,0,0,0,-0.378516177784217,-0.556548070150481,-1.25499708283751,685000,6135000
139,0,0,0,0,-0.621558760060196,-0.894992382632647,-1.25499708283751,695000,6135000
140,0,0,0,0,-0.743080051198185,-0.928800365040818,-1.25499708283751,705000,6135000
187,0,0,0,0,-0.783587148244182,1.41964827529081,-1.25499708283751,575000,6145000
188,0,0,0,0,-0.743080051198185,3.19656313503606,-1.25499708283751,585000,6145000
189,0,0,0,0,-0.662065857106192,1.7657631986089,-1.24999221533226,595000,6145000
190,0,0,0,0,-0.0949664984622425,1.29807050071021,-1.23815656478735,605000,6145000
191,0,0,0,0,0.310104471997722,1.72884944355311,0.450411382369385,615000,6145000
192,0,0,0,0,0.634161248365693,3.09225687567657,-0.0789866671337648,625000,6145000
193,0,0,0,0,1.03923221882566,3.2614298406381,-1.01269380816507,635000,6145000
194,0,0,0,0,1.36328899519363,2.44717724396495,0.676497190071904,645000,6145000
195,0,0,0,0,1.20126060700964,1.31331895176133,1.69881420493586,655000,6145000
196,0,0,0,0,0.998725121779661,0.45416082921885,2.16761705086503,665000,6145000
197,0,0,0,0,0.512639957227704,0.521065520492583,1.8554910543408,675000,6145000
198,0,0,0,0,0.0670618897217431,-0.32816536993083,1.26514729859226,685000,6145000
199,0,0,0,0,-0.216487789600232,-0.56376784359639,-0.959491203666627,695000,6145000
200,0,0,0,0,-0.419023274830214,-0.54763759053353,-1.13364695753575,705000,6145000
201,0,0,0,0,-0.540544565968203,-0.812967443676619,-1.25499708283751,715000,6145000
202,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,725000,6145000
247,0,0,0,0,-0.743080051198185,1.98069865773767,-1.25499708283751,575000,6155000
248,0,0,0,0,-0.743080051198185,3.16915463367252,-1.25499708283751,585000,6155000
249,0,0,0,0,-0.540544565968203,3.48473056399308,-0.630485311002793,595000,6155000
250,0,1,1,0,0.0670618897217431,2.59274388023598,-0.027473281433322,605000,6155000
251,2,0,0,2,0.472132860181707,2.00198652059661,-0.529025968150949,615000,6155000
252,0,0,0,0,1.03923221882566,2.2222349854782,0.53924346910339,625000,6155000
253,0,0,0,0,1.36328899519363,2.27241722252882,1.2136568127589,635000,6155000
254,0,0,0,0,2.05190964497557,1.85840868601872,1.46219607483797,645000,6155000
255,0,0,0,0,1.84937415974559,2.68604185791846,0.388997845310071,655000,6155000
256,0,0,0,0,1.48481028633162,0.882304201441056,1.91653374825853,665000,6155000
257,0,0,0,0,1.16075350996365,-0.27597555795029,2.11752237928272,675000,6155000
258,0,0,0,0,0.715175442457686,-0.577773974471011,0.533435389286526,685000,6155000
